id,date_updated,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,geographic_point,position_speed,position_odometer,trip_schedule_relationship,trip_id,trip_start_date,trip_route_id,alcaldia
18,2021-01-27 18:00:02,982,468,1,19.526100158691406,-99.16809844970705,"19.5261001587,-99.1680984497",2,441,0,9684797,2020-04-28,1,Gustavo A. Madero
19,2021-01-27 18:00:02,984,470,1,19.442800521850582,-99.14800262451172,"19.4428005219,-99.1480026245",11,350,0,9684033,2020-04-28,1,Cuauhtémoc
20,2021-01-27 18:00:02,985,471,0,19.483999252319336,-99.1498031616211,"19.4839992523,-99.1498031616",5,0,0,9685140,2020-04-28,1,Gustavo A. Madero
21,2021-01-27 18:00:02,467,509,0,19.437299728393555,-99.1458969116211,"19.4372997284,-99.1458969116",3,0,0,9755307,2020-04-28,241,Cuauhtémoc
22,2021-01-27 18:00:02,483,525,0,19.43610000610352,-99.12139892578124,"19.4361000061,-99.1213989258",0,0,0,9755507,2020-04-28,241,Venustiano Carranza
23,2021-01-27 18:00:02,486,528,0,19.429000854492188,-99.1321029663086,"19.4290008545,-99.1321029663",6,0,0,9755730,2020-04-28,241,Cuauhtémoc
24,2021-01-27 18:00:02,490,532,1,19.43560028076172,-99.11640167236328,"19.4356002808,-99.1164016724",3,214,0,9755357,2020-04-28,241,Venustiano Carranza
25,2021-01-27 18:00:02,491,533,0,19.44499969482422,-99.1522979736328,"19.4449996948,-99.1522979736",0,0,0,9755605,2020-04-28,241,Cuauhtémoc
26,2021-01-27 18:00:02,492,534,1,19.43560028076172,-99.15460205078124,"19.4356002808,-99.1546020508",0,385,0,9755186,2020-04-28,241,Cuauhtémoc
27,2021-01-27 18:00:02,496,538,1,19.440900802612305,-99.15260314941406,"19.4409008026,-99.1526031494",4,203,0,9755218,2020-04-28,241,Cuauhtémoc
28,2021-01-27 18:00:02,512,554,0,19.430700302124023,-99.1155014038086,"19.4307003021,-99.1155014038",0,0,0,9755460,2020-04-28,241,Venustiano Carranza
29,2021-01-27 18:00:02,557,614,1,19.429100036621094,-99.1143035888672,"19.4291000366,-99.1143035889",11,1015,2,0,,0,Venustiano Carranza
30,2021-01-27 18:00:02,562,619,1,19.49740028381348,-99.0896987915039,"19.4974002838,-99.0896987915",0,499,0,9679510,2020-04-28,161,Gustavo A. Madero
31,2021-01-27 18:00:02,10000,620,1,19.432100296020508,-99.11509704589844,"19.432100296,-99.1150970459",7,85,0,9679007,2020-04-28,161,Venustiano Carranza
32,2021-01-27 18:00:02,1085,712,1,19.49530029296875,-99.15480041503906,"19.495300293,-99.154800415",11,169,0,9740927,2020-04-28,61,Azcapotzalco
33,2021-01-27 18:00:02,1115,762,1,19.475799560546875,-99.08989715576172,"19.4757995605,-99.0898971558",10,324,0,9739719,2020-04-28,61,Gustavo A. Madero
34,2021-01-27 18:00:02,1120,767,1,19.490699768066406,-99.1331024169922,"19.4906997681,-99.133102417",1,0,0,9741043,2020-04-28,61,Gustavo A. Madero
35,2021-01-27 18:00:02,1132,784,1,19.473499298095703,-99.07029724121094,"19.4734992981,-99.0702972412",10,263,0,9739559,2020-04-28,61,Gustavo A. Madero
